City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
198,Gat,IL,2021-11-06 03:24:07,31.61,34.7642,71.4,60,0,4.21
199,Alice Springs,AU,2021-11-06 03:24:00,-23.7,133.8833,94.55,26,75,5.75
200,Coihaique,CL,2021-11-06 03:24:08,-45.5752,-72.0662,40.95,93,0,2.3
201,Fort Wellington,GY,2021-11-06 03:24:08,6.4,-57.6,77.11,90,73,8.21
202,Nalchiti,BD,2021-11-06 03:24:09,22.6333,90.2833,76.12,62,78,7.27
203,Cedar City,US,2021-11-06 03:21:57,37.6775,-113.0619,56.39,32,1,5.75
204,Khatanga,RU,2021-11-06 03:22:17,71.9667,102.5,5.63,93,100,19.48
205,Qixingtai,CN,2021-11-06 03:24:10,30.4135,111.8874,68.02,68,95,10.42
206,Lata,PT,2021-11-06 03:24:10,40.1629,-8.3327,49.82,78,0,4.83
207,Mirnyy,RU,2021-11-06 03:24:11,62.5353,113.9611,14.05,86,100,13.42
208,Bulembu,SZ,2021-11-06 03:24:11,-25.9667,31.1333,63.55,98,46,3.31
209,Thompson,CA,2021-11-06 03:19:44,55.7435,-97.8558,30.36,100,75,4.61
210,Bentiu,SS,2021-11-06 03:24:12,9.2333,29.8333,71.53,79,28,1.88
211,Barrington,US,2021-11-06 03:20:59,41.7407,-71.3087,42.01,76,1,0.0
212,Iqaluit,CA,2021-11-06 03:24:13,63.7506,-68.5145,11.93,78,20,2.3
213,Hualmay,PE,2021-11-06 03:24:13,-11.0964,-77.6139,64.35,86,83,8.79
214,Bac Giang,VN,2021-11-06 03:24:14,21.2667,106.2,80.67,69,65,11.21
215,Dire Dawa,ET,2021-11-06 03:24:14,9.5931,41.8661,66.0,39,7,4.14
216,Souillac,MU,2021-11-06 03:21:02,-20.5167,57.5167,78.37,78,40,6.91
217,Luau,AO,2021-11-06 03:24:15,-10.7073,22.2247,63.66,78,9,2.37
218,Touros,BR,2021-11-06 03:22:30,-5.1989,-35.4608,79.7,86,69,8.63
219,Dunedin,NZ,2021-11-06 03:24:10,-45.8742,170.5036,55.8,72,80,11.99
220,Sao Joao Da Barra,BR,2021-11-06 03:24:16,-21.6403,-41.0511,67.8,89,5,6.82
221,Payo,ID,2021-11-06 03:24:17,-3.7508,103.6372,80.02,82,97,2.66
222,Haicheng,CN,2021-11-06 03:24:18,40.8516,122.7475,49.23,61,51,16.26
223,Kirakira,SB,2021-11-06 03:24:19,-10.4544,161.9205,85.55,66,22,5.95
224,Port Elizabeth,ZA,2021-11-06 03:23:36,-33.918,25.5701,61.03,80,100,7.56
225,Tarragona,ES,2021-11-06 03:20:27,41.129,1.249,52.14,49,33,11.18
226,Mehamn,NO,2021-11-06 03:24:20,71.0357,27.8492,35.53,97,100,22.82
227,Garden City,US,2021-11-06 03:25:20,42.3256,-83.331,41.25,83,40,4.61
228,Mao,ES,2021-11-06 03:25:21,39.8885,4.2658,57.76,77,75,32.21
229,Heihe,CN,2021-11-06 03:25:21,50.2441,127.4902,19.98,32,33,15.64
230,Ust-Maya,RU,2021-11-06 03:25:22,60.4167,134.5333,6.1,83,83,5.55
231,Effium,NG,2021-11-06 03:25:22,6.6292,8.0593,74.35,96,75,5.03
232,Quatre Cocos,MU,2021-11-06 03:25:23,-20.2078,57.7625,78.1,76,5,11.92
233,Montorio Al Vomano,IT,2021-11-06 03:25:23,42.5831,13.6383,54.1,93,98,2.55
234,Houston,US,2021-11-06 03:20:54,29.7633,-95.3633,57.24,68,20,5.75
235,Saldanha,ZA,2021-11-06 03:25:25,-33.0117,17.9442,51.85,68,64,12.95
236,Hamilton,US,2021-11-06 03:25:27,39.1834,-84.5333,41.77,78,1,0.0
237,Ilulissat,GL,2021-11-06 03:25:27,69.2167,-51.1,2.25,72,41,7.65
238,Murovane,UA,2021-11-06 03:25:28,49.5214,22.9367,37.71,86,7,5.14
239,Elko,US,2021-11-06 03:25:28,41.0002,-115.5012,48.63,48,100,8.01
240,Jumla,NP,2021-11-06 03:25:30,29.2747,82.1838,53.82,24,48,1.74
241,Saint George,US,2021-11-06 03:21:02,37.1041,-113.5841,68.34,42,1,0.0
242,Tateyama,JP,2021-11-06 03:25:31,34.9833,139.8667,67.14,54,19,9.75
243,Henties Bay,NA,2021-11-06 03:25:31,-22.116,14.2845,57.49,93,33,1.23
244,Narsaq,GL,2021-11-06 03:25:32,60.9167,-46.05,25.02,90,48,7.9
245,Fukue,JP,2021-11-06 03:25:32,32.6881,128.8419,57.56,82,75,6.91
246,Vao,NC,2021-11-06 03:25:33,-22.6667,167.4833,69.01,61,100,10.07
247,Verkhnyaya Toyma,RU,2021-11-06 03:25:33,62.2349,44.9985,46.8,88,99,11.79
248,Dikson,RU,2021-11-06 03:25:35,73.5069,80.5464,19.6,90,100,14.05
249,Rio Negrinho,BR,2021-11-06 03:25:35,-26.2544,-49.5183,64.94,96,100,2.24
250,Saskylakh,RU,2021-11-06 03:25:36,71.9167,114.0833,-3.03,91,90,17.65
251,Port Lincoln,AU,2021-11-06 03:25:36,-34.7333,135.8667,63.21,80,97,16.93
252,Marshall,US,2021-11-06 03:23:35,34.3834,-86.3333,51.49,92,1,4.61
253,Sidrolandia,BR,2021-11-06 03:25:37,-20.9319,-54.9614,74.19,91,61,3.51
254,San Patricio,US,2021-11-06 03:25:38,28.017,-97.5169,62.82,62,0,5.97
255,Sumbe,AO,2021-11-06 03:25:38,-11.2061,13.8437,75.06,90,83,5.79
256,Bambanglipuro,ID,2021-11-06 03:25:39,-7.95,110.2833,88.5,57,16,2.82
257,Joshimath,IN,2021-11-06 03:25:39,30.5667,79.5667,57.96,21,27,1.19
258,Lisakovsk,KZ,2021-11-06 03:25:40,52.5369,62.4936,28.69,40,90,13.13
259,Saint-Georges,GD,2021-11-06 03:25:40,12.0564,-61.7485,80.44,82,16,14.27
260,Provideniya,RU,2021-11-06 03:25:41,64.3833,-173.3,8.8,82,4,8.81
261,Grande Prairie,CA,2021-11-06 03:24:07,55.1667,-118.8027,33.98,100,90,8.05
262,Axim,GH,2021-11-06 03:25:42,4.8699,-2.2405,75.72,90,100,2.91
263,Gigmoto,PH,2021-11-06 03:25:42,13.7796,124.39,85.84,70,47,6.89
264,Ishigaki,JP,2021-11-06 03:25:43,24.3448,124.1572,82.53,83,75,8.05
265,San Giovanni Rotondo,IT,2021-11-06 03:25:43,41.7049,15.7191,51.03,100,75,11.5
266,Xining,CN,2021-11-06 03:25:44,36.6167,101.7667,22.46,82,100,6.78
267,Xinye,CN,2021-11-06 03:25:44,32.5186,112.3522,63.99,78,100,10.69
268,Port Augusta,AU,2021-11-06 03:25:45,-32.5,137.7667,71.74,31,18,18.5
269,Nara,JP,2021-11-06 03:21:20,34.6851,135.8049,65.57,42,99,1.57
270,Hermiston,US,2021-11-06 03:22:41,45.8404,-119.2895,50.65,76,90,9.22
271,Quelimane,MZ,2021-11-06 03:25:47,-17.8786,36.8883,73.35,94,75,0.0
272,Nicosia,CY,2021-11-06 03:25:48,35.1667,33.3667,62.69,55,0,10.36
273,Half Moon Bay,US,2021-11-06 03:26:49,37.4636,-122.4286,58.91,88,40,5.75
274,Caarapo,BR,2021-11-06 03:26:49,-22.6342,-54.8222,70.12,93,82,7.14
275,Portland,US,2021-11-06 03:26:26,45.5234,-122.6762,48.7,87,1,1.01
276,Norman Wells,CA,2021-11-06 03:26:50,65.282,-126.8329,17.64,93,90,0.0
277,Luderitz,NA,2021-11-06 03:26:50,-26.6481,15.1594,57.34,75,17,15.03
278,Coronado,US,2021-11-06 03:26:51,32.6859,-117.1831,69.71,90,90,6.91
279,Grand-Santi,GF,2021-11-06 03:26:51,4.25,-54.3833,72.86,100,72,1.83
280,Trinidad,BO,2021-11-06 03:26:53,-14.8333,-64.9,77.11,82,68,4.12
281,Nerang,AU,2021-11-06 03:26:54,-27.9833,153.3333,78.12,68,58,5.99
282,Genhe,CN,2021-11-06 03:26:55,50.7833,121.5167,15.6,27,0,10.42
283,Deputatskiy,RU,2021-11-06 03:26:55,69.3,139.9,3.78,94,98,2.04
284,Savelugu,GH,2021-11-06 03:26:57,9.6244,-0.8253,79.03,70,68,4.92
285,Chemodanovka,RU,2021-11-06 03:26:57,53.2316,45.2474,45.43,45,100,14.27
286,Chokurdakh,RU,2021-11-06 03:26:59,70.6333,147.9167,0.97,89,99,5.19
287,Ewa Beach,US,2021-11-06 03:24:49,21.3156,-158.0072,82.35,62,20,13.0
288,Katherine,AU,2021-11-06 03:27:00,-14.4667,132.2667,98.92,36,59,4.61
289,Chapleau,CA,2021-11-06 03:27:00,47.8405,-83.4034,38.64,81,100,11.86
290,Edgewater,US,2021-11-06 03:27:01,28.9889,-80.9023,70.02,90,81,10.07
291,Surt,LY,2021-11-06 03:27:02,31.2089,16.5887,75.27,38,100,13.65
292,Filingue,NE,2021-11-06 03:27:02,14.3521,3.3168,83.28,18,39,7.63
293,Alofi,NU,2021-11-06 03:27:04,-19.0595,-169.9187,78.69,73,36,10.36
